Organisme,Polluant,moyenne,maximum,ecart_type,nb_mesures,taux_depassement_pct,score_sante
ATMO NORMANDIE,NO2,11.991885964912282,46.5,8.851060652660635,456,1.0964912280701753,B (Bon)
ATMO NORMANDIE,PM10,12.481884057971014,54.4,8.166511098499974,552,1.0869565217391304,B (Bon)
ATMO NORMANDIE,PM2.5,9.592824074074075,48.2,7.895763461324795,432,11.574074074074074,C (Modéré)
ATMO NOUVELLE-AQUITAINE,NO2,11.84581447963801,47.0,8.60579715284906,884,1.1261261261261262,B (Bon)
ATMO NOUVELLE-AQUITAINE,PM10,17.922685185185188,62.9,7.770480386369935,864,1.1574074074074074,B (Bon)
ATMO NOUVELLE-AQUITAINE,PM2.5,15.991176470588234,60.7,6.985335329748124,408,45.34313725490196,E (Critique)
ATMO OCCITANIE,NO2,20.20171102661597,117.6,15.47983686760826,526,11.363636363636363,C (Modéré)
ATMO OCCITANIE,PM10,22.321401515151518,125.8,13.629081263846958,528,6.340579710144928,C (Modéré)
ATMO OCCITANIE,PM2.5,20.620394736842105,122.5,12.865850559254579,456,65.35087719298247,E (Critique)
ATMO REUNION,NO2,5.202928870292887,24.1,4.570763846664815,239,0.0,A (Excellent)
ATMO REUNION,PM10,13.238888888888889,94.7,10.930697845981992,144,0.4629629629629629,B (Bon)
ATMO REUNION,PM2.5,6.366666666666667,73.6,10.621382154185406,48,1.1904761904761905,B (Bon)
ATMO SUD,NO2,22.7675,93.2,13.752164604717326,480,12.083333333333334,C (Modéré)
ATMO SUD,PM10,24.559090909090912,100.2,14.44319872136407,528,8.143939393939394,C (Modéré)
ATMO SUD,PM2.5,19.71014492753623,84.3,12.008161612067969,621,59.455128205128204,E (Critique)
GWAD'AIR,NO2,9.180208333333333,31.9,8.939900150056625,96,0.0,A (Excellent)
GWAD'AIR,PM10,11.098611111111111,46.9,7.191992304101365,144,0.6944444444444444,B (Bon)
GWAD'AIR,PM2.5,3.595833333333333,13.2,2.637510429857223,72,0.0,A (Excellent)
HAWA MAYOTTE,NO2,,,,0,0.0,A (Excellent)
HAWA MAYOTTE,PM10,28.22222222222222,70.4,18.405871860247135,72,20.833333333333336,D (Médiocre)
HAWA MAYOTTE,PM2.5,7.5625,18.4,3.5452126323671544,24,4.166666666666666,B (Bon)
LIG'AIR,NO2,16.163425925925928,52.1,10.536052582113559,432,3.7037037037037033,B (Bon)
LIG'AIR,PM10,25.562797619047622,135.8,18.221686683257406,336,10.714285714285714,C (Modéré)
LIG'AIR,PM2.5,21.57,102.3,16.111289144044566,360,57.22222222222222,E (Critique)
MADININAIR,NO2,6.5325,27.1,6.52523430790874,120,0.0,A (Excellent)
MADININAIR,PM10,8.270833333333334,23.0,4.210598788398479,120,0.0,A (Excellent)
MADININAIR,PM2.5,2.9718750000000003,9.1,1.0571762911294953,96,0.0,A (Excellent)
QUALITAIR CORSE,NO2,9.832738095238096,45.8,9.200120391192296,168,2.380952380952381,B (Bon)
QUALITAIR CORSE,PM10,7.280952380952381,27.6,5.150291572246757,168,0.0,A (Excellent)
QUALITAIR CORSE,PM2.5,4.226041666666666,16.7,3.3358734291168366,96,1.0416666666666665,B (Bon)
